mal_id,title_default,title_japanese,score,rank,popularity,season,year,demographics,genres
1212,Oban Star-Racers,オーバン・スターレーサーズ,7.5,1893.0,3108,fall,2006.0,"Action, Adventure, Sci-Fi",
1214,Binbou Shimai Monogatari,貧乏姉妹物語,6.84,4945.0,4728,summer,2006.0,Slice of Life,Seinen
1218,Tonagura!,となグラ！,6.67,5853.0,3181,summer,2006.0,"Comedy, Romance, Ecchi",Shounen
1219,Chocotto Sister,ちょこッとSister,6.74,5459.0,4776,summer,2006.0,"Comedy, Drama, Romance, Ecchi",
1221,Demashita! Powerpuff Girls Z,出ましたっ！パワパフガールズZ,6.47,6990.0,3789,summer,2006.0,"Action, Comedy, Sci-Fi",
1222,Bokura ga Ita,僕等がいた,7.24,3051.0,1070,summer,2006.0,"Drama, Romance",Shoujo
1230,Innocent Venus,イノセント・ヴィーナス,6.77,5317.0,4328,summer,2006.0,"Action, Adventure, Drama, Sci-Fi",
1243,Night Head Genesis,NIGHT HEAD GENESIS (ナイト ヘッド ジェネシス),6.71,5646.0,4050,summer,2006.0,"Drama, Mystery, Sci-Fi, Supernatural",
1247,Project BLUE Chikyuu SOS,Project BLUE 地球SOS,6.59,6319.0,9294,summer,2006.0,"Adventure, Comedy, Sci-Fi",
1292,Afro Samurai,アフロサムライ,7.37,2389.0,629,spring,2007.0,"Action, Adventure",
1410,IGPX: Immortal Grand Prix (2005) 2nd Season,IGPX -Immortal Grand Prix-,7.25,3010.0,6140,spring,2006.0,"Action, Sci-Fi",
1454,Kemonozume,ケモノヅメ,7.34,2530.0,2516,summer,2006.0,"Action, Avant Garde, Horror, Romance, Supernatural",
1482,D.Gray-man,ディー・グレイマン,8.0,638.0,295,fall,2006.0,"Action, Adventure, Fantasy",Shounen
1498,Black Blood Brothers,ブラック・ブラッド・ブラザーズ,7.09,3830.0,2074,fall,2006.0,"Action, Comedy, Fantasy",
1509,Mamotte! Lollipop,まもって！ロリポップ,6.61,6178.0,4410,summer,2006.0,"Adventure, Comedy, Romance",Shoujo
1516,Kirarin☆Revolution,きらりん☆レボリューション,7.07,3912.0,3948,spring,2006.0,"Comedy, Drama, Romance",Shoujo
1519,Black Lagoon: The Second Barrage,BLACK LAGOON The Second Barrage,8.17,422.0,427,fall,2006.0,Action,Seinen
1530,Kanon (2006),カノン (2006),7.94,707.0,911,fall,2006.0,"Drama, Romance, Supernatural",
1534,Futari wa Precure: Splash☆Star,ふたりはプリキュア Splash☆Star,7.18,3380.0,5582,winter,2006.0,"Action, Comedy, Fantasy",
1535,Death Note,デスノート,8.62,84.0,2,fall,2006.0,"Supernatural, Suspense",Shounen
1536,Busou Renkin,武装錬金,7.29,2752.0,1390,fall,2006.0,"Action, Fantasy",Shounen
1538,Pumpkin Scissors,パンプキン・シザーズ,7.15,3503.0,3419,fall,2006.0,"Action, Comedy, Drama",Shounen
1541,Souten no Ken,蒼天の拳,6.68,5770.0,5891,fall,2006.0,Action,
1543,Yoake Mae yori Ruriiro na: Crescent Love,夜明け前より瑠璃色な -Crescent Love-,7.09,3818.0,3546,fall,2006.0,"Comedy, Romance, Sci-Fi",
1546,Negima!?,ネギま!?,6.93,4543.0,2188,fall,2006.0,"Comedy, Fantasy, Romance, Ecchi",
1554,Asatte no Houkou.,あさっての方向。,7.02,4117.0,4489,fall,2006.0,"Drama, Supernatural",
1555,Tokimeki Memorial: Only Love,ときめきメモリアル Only Love,7.01,4178.0,3711,fall,2006.0,"Comedy, Romance",
1557,Shounen Onmyouji,少年陰陽師,7.53,1779.0,2992,fall,2006.0,"Action, Fantasy",Shoujo
1559,Shijou Saikyou no Deshi Kenichi,史上最強の弟子 ケンイチ,8.04,588.0,809,fall,2006.0,"Action, Comedy",Shounen
1561,Lovedol: Lovely Idol,らぶドル～Lovely Idol～,6.11,8961.0,6773,fall,2006.0,,
1562,Yamato Nadeshiko Shichihenge♥,ヤマトナデシコ七変化♥,7.71,1229.0,1472,fall,2006.0,Comedy,Shoujo
1565,Pokemon Diamond & Pearl,ポケットモンスター ダイヤモンド&パール,7.29,2777.0,1567,fall,2006.0,"Action, Adventure, Comedy, Fantasy",Kids
1568,Sumomomo Momomo: Chijou Saikyou no Yome,すもももももも〜地上最強のヨメ〜,6.83,5016.0,2685,fall,2006.0,"Action, Comedy, Romance",Seinen
1569,Otome wa Boku ni Koishiteru,乙女は僕に恋してる,7.02,4156.0,2801,fall,2006.0,"Comedy, Drama, Romance",
1570,Happiness!,はぴねす！,6.34,7719.0,3758,fall,2006.0,"Comedy, Romance",
1571,Ghost Hunt,ゴーストハント,7.75,1129.0,1070,fall,2006.0,"Horror, Mystery, Supernatural",Shoujo
1575,Code Geass: Hangyaku no Lelouch,コードギアス 反逆のルルーシュ,8.7,58.0,22,fall,2006.0,"Action, Award Winning, Drama, Sci-Fi",
1578,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,恋する天使アンジェリーク　～心のめざめる時～,6.81,5096.0,5997,summer,2006.0,"Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi",Shoujo
1579,Kiniro no Corda: Primo Passo,金色のコルダ ～primo passo～,7.41,2225.0,2154,fall,2006.0,Romance,Josei
1581,Gift: Eternal Rainbow,ギフト～ eternal rainbow,6.55,6550.0,4031,fall,2006.0,"Comedy, Drama, Romance",
1583,009-1,ゼロゼロナインワン,6.21,8389.0,4755,fall,2006.0,"Action, Sci-Fi",Seinen
1587,Tenpou Ibun: Ayakashi Ayashi,天保異聞 妖奇士,6.84,4975.0,5238,fall,2006.0,Supernatural,
1588,Mamoru-kun ni Megami no Shukufuku wo!,護くんに女神の祝福を！,7.02,4147.0,4304,fall,2006.0,"Comedy, Romance",
1589,Bartender,バーテンダー,7.32,2600.0,2151,fall,2006.0,"Drama, Gourmet",Seinen
1591,Kujibiki♥Unbalance,くじびき♥アンバランス,6.22,8349.0,5617,fall,2006.0,"Comedy, Romance",
1592,Hataraki Man,働きマン,6.99,4270.0,4378,fall,2006.0,"Comedy, Drama, Romance",Seinen
1594,Jigoku Shoujo Futakomori,地獄少女 二籠,7.88,833.0,1466,fall,2006.0,"Horror, Mystery, Supernatural",
1600,Galaxy Angel Rune,ギャラクシーエンジェる～ん,6.21,8405.0,8073,fall,2006.0,"Comedy, Sci-Fi",
1601,Red Garden,レッド ガーデン,7.03,4086.0,3325,fall,2006.0,"Drama, Mystery, Supernatural",
1602,Soukou no Strain,奏光のストレイン,7.0,4229.0,4649,fall,2006.0,"Action, Drama, Sci-Fi, Ecchi",
